GitHub slug,Latitude,Longitude,Geocode precision
900-care,48.8566,2.3522,city (manual)
abc-swappa-crate-glass-packaging-forum-initiative,-36.8485,174.7633,country
a-bit-less-bulk-store,3.139,101.6869,city
acala,51.4085,-0.3064,city
adrish,28.6139,77.209,country
aesop,-37.8136,144.9631,city (manual)
again,51.5074,-0.1278,city (manual)
again-again,51.5074,-0.1278,city (manual)
air-closet,35.6762,139.6503,city (manual)
akomeya,35.6762,139.6503,city (manual)
albo-drinks,51.2194,4.4025,city
alchemy,51.5074,-0.1278,country
aleph,-36.8485,174.7633,country
algramo,-33.4489,-70.6693,city (manual)
alima-pure,45.5152,-122.6784,city (manual)
almang-market,37.5665,126.978,city (manual)
almawin,52.52,13.405,country
alner,-6.2088,106.8456,city
alterpacks,3.139,101.6869,city (manual)
ambev,-23.5505,-46.6333,city (manual)
amore-pacific-gwanggyo-store,37.2939,127.0507,city (manual)
anew,-36.7889,175.0906,city
a-new-earth-store,33.8938,35.5018,country
anniepooh,53.3498,-6.2603,country
a-public,47.6062,-122.3321,city
araliya,6.9271,79.8612,country
ariapack,41.0082,28.9784,city
aromatica,37.5665,126.978,city
aromatica-zero-station,37.5665,126.978,city
aroundrs,41.9028,12.4964,country
artani-eco-bulk-store,-6.2088,106.8456,country
artsan-ambalaj,41.0082,28.9784,city
asa-beauty,19.076,72.8777,city
asd,41.0082,28.9784,city
atelier-rebul,41.0082,28.9784,city
avo-and-co,1.3521,103.8198,country
avoid,-23.5505,-46.6333,city
babel-siem-reap,11.5564,104.9282,country
babyloop,38.7223,-9.1393,country
bachsermaert,47.3769,8.5417,city
back-to-basics,14.5995,120.9842,country
baedal-minjok,37.5665,126.978,city
bak-packages,31.5497,74.3436,city
bamboo-straw-girl,1.3521,103.8198,country
bare-market,43.6532,-79.3832,city
bare-necessities,12.9716,77.5946,city
barepack,59.3293,18.0686,city
battmen,52.3676,4.9041,country
bdari,3.139,101.6869,country
bean-around,53.3498,-6.2603,country
beautiful-store,37.5665,126.978,city
beauty-kitchen,51.5074,-0.1278,country
beauty-society,39.8283,-98.5795,country
beg-destilaria-boutique,-23.5505,-46.6333,city
benamôr-1925,38.7223,-9.1393,city
bettercup,-37.8136,144.9631,city
biobox,46.948,7.4474,country
bio-c-bon,35.6762,139.6503,city (manual)
bio-home,1.3521,103.8198,city (manual)
biologique,-25.7479,28.2293,country
bio-pac,39.8283,-98.5795,country
biopak,-33.8688,151.2093,city
biotherm,48.8566,2.3522,country
bite,34.0522,-118.2437,city
blueland,40.7128,-74.006,city (manual)
bluewater,59.3293,18.0686,city
boobalou,51.5074,-0.1278,country
boomi,31.2304,121.4737,city
boox,39.8283,-98.5795,country
botanica-granel,19.4326,-99.1332,city
bottle-factory,37.5665,126.978,city
bottle-none,45.4215,-75.6972,country
bout-a-bout,47.2184,-1.5536,city
bower-collective,51.5074,-0.1278,city (manual)
boxo,52.3676,4.9041,country
brabantia,52.3676,4.9041,country
branch-basics,44.9778,-93.265,city
bros,3.139,101.6869,country
brush-naked,45.4215,-75.6972,country
bulle-verte,48.8566,2.3522,country
bundle-packaging,39.8283,-98.5795,country
by-humankind,40.7128,-74.006,city
capsa-packaging,41.3874,2.1686,city
capsule-minimal,32.0853,34.7818,country
carccu,60.1699,24.9384,country
care-by-nature,55.6761,12.5683,country
carrefour,48.8566,2.3522,country
caulibox,51.5074,-0.1278,city
cero,39.8283,-98.5795,country
cero-market,-34.6037,-58.3816,city
chakra-suthra,6.9271,79.8612,city
charoen-pokphand-group,13.7563,100.5018,city
chelpliwe-pudela,52.2297,21.0122,country
chep,51.5074,-0.1278,country
cia-muller,-23.5505,-46.6333,city
circolution,50.1109,8.6821,city
circular-and-co,51.5074,-0.1278,country
circular-brain,-23.5505,-46.6333,city
circular-city-labs,6.2442,-75.5812,city
circular-economy-portugal,38.7223,-9.1393,city
cleancult,39.8283,-98.5795,country
cleancup,48.8566,2.3522,country
clean-kiss-lifestyle,45.4215,-75.6972,country
cleanomic,39.8283,-98.5795,country
clicko-brick,32.0853,34.7818,country
climate-kic,52.3676,4.9041,country
club-saludable,-34.6037,-58.3816,city
clubzero,51.5074,-0.1278,city
cmg,52.2297,21.0122,country
coca-cola-returnables,-23.5505,-46.6333,city (manual)
cokodeal,6.5244,3.3792,country
coles-local-chatswood-store,-33.8688,151.2093,city
colombia-plastics-pact,4.711,-74.0721,country
common-good,40.7128,-74.006,city
conatural,31.5497,74.3436,city
conteyor,52.52,13.405,country
coop,46.948,7.4474,country
cosmogen,48.8566,2.3522,city
costa-brazil,39.8283,-98.5795,country
cupable,19.076,72.8777,city
cup-club,51.5074,-0.1278,city
cupkita,-6.2088,106.8456,city
cuploop,59.437,24.7536,country
cyclic-design,52.52,13.405,country
czyste-miasto-gdansk,52.2297,21.0122,country
damn-plastic,48.2082,16.3738,country
darihulu-store,-8.4095,115.1889,city
day-by-day,48.8566,2.3522,country
delivery-refillery,39.8283,-98.5795,country
delterra,-34.6037,-58.3816,city
